school_name,city_state,district,rank_state_elementary,grade_level,enrollment,student_teacher_ratio,description,source_page,source_raw_school_name
Montgomery Christian Academy,"Montgomery, TX",,,PK-6,81,8:1,"Montgomery Christian Academy is a private school located in Montgomery, TX, which is in a fringe rural setting.  The student population of Montgomery Christian Academy is 81, and the school serves PK through...",595,Montgomery ChristianAcademy
Moody Middle,"Moody, TX",Moody Independent School District,,5-8,205,10:1,"Moody Middle is a  school located in Moody, TX, which is in a distant rural setting.  The student population of Moody Middle is 205, and the school serves 5 through 8 At Moody Middle, 37% scored at or...",595,MoodyMiddle
Morning Star Academy,"Bonham, TX",,,PK-1,11,6:1,"Morning Star Academy is a private school located in Bonham, TX, which is in a fringe rural setting.  The student population of Morning Star Academy is 11, and the school serves PK through 1...",596,Morning StarAcademy
Morris Middle,"Houston, TX",Pasadena Independent School District,,5-6,640,11:1,"Morris Middle is a  school located in Houston, TX, which is in a large city setting.  The student population of Morris Middle is 640, and the school serves 5 through 6 At Morris Middle, 41% scored at or...",596,MorrisMiddle
Morris Upchurch Middle,"Queen City, TX",Queen City Independent School District,,5-8,265,9:1,"Morris Upchurch Middle is a  school located in Queen City, TX, which is in a fringe rural setting.  The student population of Morris Upchurch Middle is 265, and the school serves 5 through 8 At Morris...",596,Morris UpchurchMiddle
Mosaic Academy,"Fort Worth, TX",,,PK-7,35,5:1,"Mosaic Academy is a private school located in Fort Worth, TX, which is in a large city setting.  The student population of Mosaic Academy is 35, and the school serves PK through 7...",596,MosaicAcademy
Most Holy Trinity School,"El Paso, TX",,,PK-8,127,12:1,"Most Holy Trinity School is a private school located in El Paso, TX, which is in a large city setting.  The student population of Most Holy Trinity School is 127, and the school serves PK through 8...",596,Most Holy TrinitySchool
Most Precious Blood Catholic School,"Corpus Christi, TX",,,PK-5,115,9:1,"Most Precious Blood Catholic School is a private school located in Corpus Christi, TX, which is in a large city setting.  The student population of Most Precious Blood Catholic School is 115, and the school...",596,Most Precious Blood CatholicSchool
Mountain West Montessori,"El Paso, TX",,,PK-8,92,4:1,"Mountain West Montessori is a private school located in El Paso, TX, which is in a large city setting.  The student population of Mountain West Montessori is 92, and the school serves PK through 8...",596,Mountain WestMontessori
Mount Hebron Christian Academy,"Garland, TX",,,PK-2,22,4:1,"Mount Hebron Christian Academy is a private school located in Garland, TX, which is in a large suburb setting.  The student population of Mount Hebron Christian Academy is 22, and the school serves PK...",596,Mount Hebron ChristianAcademy
Mount Sacred Heart School,"San Antonio, TX",,,PK-8,151,10:1,"Mount Sacred Heart School is a private school located in San Antonio, TX, which is in a large city setting.  The student population of Mount Sacred Heart School is 151, and the school serves PK through...",596,Mount Sacred HeartSchool
Mount St Michael Catholic School,"Dallas, TX",,,PK-8,86,7:1,"Mount St Michael Catholic School is a private school located in Dallas, TX, which is in a large city setting.  The student population of Mount St Michael Catholic School is 86, and the school serves PK...",596,Mount St Michael CatholicSchool
Mrs. Os at Agape,"Lubbock, TX",,,PK-K,22,7:1,"Mrs. Os at Agape is a private school located in Lubbock, TX, which is in a large city setting.  The student population of Mrs. Os at Agape is 22, and the school serves PK through K...",597,Mrs. Os atAgape
Mt Pleasant Christian School,"Mount Pleasant, TX",,,3-12,11,6:1,"Mt Pleasant Christian School is a private school located in Mount Pleasant, TX, which is in a remote town setting.  The student population of Mt Pleasant Christian School is 11, and the school serves 3...",597,Mt Pleasant ChristianSchool
Mt Vernon Middle,"Mount Vernon, TX",Mount Vernon Independent School District,,5-8,482,14:1,"Mt Vernon Middle is a  school located in Mount Vernon, TX, which is in a remote rural setting.  The student population of Mt Vernon Middle is 482, and the school serves 5 through 8 At Mt Vernon Middle,...",597,Mt VernonMiddle
Nazarene Christian Academy,"Crowley, TX",,,K-12,222,10:1,"Nazarene Christian Academy is a private school located in Crowley, TX, which is in a large suburb setting.  The student population of Nazarene Christian Academy is 222, and the school serves K through...",597,Nazarene ChristianAcademy
Nazarene Christian Academy Big Spring,"Big Spring, TX",,,K-5,21,6:1,"Nazarene Christian Academy Big Spring is a private school located in Big Spring, TX, which is in a distant town setting.  The student population of Nazarene Christian Academy Big Spring is 21, and the...",597,Nazarene Christian Academy BigSpring
Nazareth Academy,"Victoria, TX",,,PK-8,355,10:1,"Nazareth Academy is a private school located in Victoria, TX, which is in a small city setting.  The student population of Nazareth Academy is 355, and the school serves null through 8...",597,NazarethAcademy
Needville Middle,"Needville, TX",Needville Independent School District,,4-6,796,14:1,"Needville Middle is a  school located in Needville, TX, which is in a distant rural setting.  The student population of Needville Middle is 796, and the school serves 4 through 6 At Needville Middle, 66%...",597,NeedvilleMiddle
Nelda Sullivan Middle,"Pasadena, TX",Pasadena Independent School District,,5-6,514,12:1,"Nelda Sullivan Middle is a  school located in Pasadena, TX, which is in a mid-size city setting.  The student population of Nelda Sullivan Middle is 514, and the school serves 5 through 6 At Nelda Sullivan...",597,Nelda SullivanMiddle
New Braunfels Christian Academy,"New Braunfels, TX",,,PK-12,495,10:1,"New Braunfels Christian Academy is a private school located in New Braunfels, TX, which is in a small city setting.  The student population of New Braunfels Christian Academy is 495, and the school serves...",597,New Braunfels ChristianAcademy
New Century Montessori Academy,"Garland, TX",,,PK-12,121,5:1,"New Century Montessori Academy is a private school located in Garland, TX, which is in a large suburb setting.  The student population of New Century Montessori Academy is 121, and the school serves PK...",597,New Century MontessoriAcademy
New Deal Middle,"New Deal, TX",New Deal Independent School District,,5-8,231,11:1,"New Deal Middle is a  school located in New Deal, TX, which is in a fringe rural setting.  The student population of New Deal Middle is 231, and the school serves 5 through 8 At New Deal Middle, 36% scored...",598,New DealMiddle
New Hope Christian Academy,"Plano, TX",,,PK-8,43,4:1,"New Hope Christian Academy is a private school located in Plano, TX, which is in a large city setting.  The student population of New Hope Christian Academy is 43, and the school serves PK through 8...",598,New Hope ChristianAcademy
New Life Christian Academy,"Dallas, TX",,,PK-12,31,8:1,"New Life Christian Academy is a private school located in Dallas, TX, which is in a large city setting.  The student population of New Life Christian Academy is 31, and the school serves PK through 12...",598,New Life ChristianAcademy
New Life Christian Academy Hybrid,"San Antonio, TX",,,PK-12,56,7:1,"New Life Christian Academy Hybrid is a private school located in San Antonio, TX, which is in a large city setting.  The student population of New Life Christian Academy Hybrid is 56, and the school serves...",598,New Life Christian AcademyHybrid
New Life Christian Academy of El Paso Inc.,"El Paso, TX",,,PK-11,20,2:1,"New Life Christian Academy of El Paso Inc. is a private school located in El Paso, TX, which is in a large city setting.  The student population of New Life Christian Academy of El Paso Inc. is 20, and...",598,New Life Christian Academy of El PasoInc.
New Life Christian School,"Longview, TX",,,K-11,30,6:1,"New Life Christian School is a private school located in Longview, TX, which is in a small city setting.  The student population of New Life Christian School is 30, and the school serves K through 11...",598,New Life ChristianSchool
New Territory Montessori School,"Sugar Land, TX",,,,53,6:1,"New Territory Montessori School is a private school located in Sugar Land, TX, which is in a mid-size city setting.  The student population of New Territory Montessori School is 53, and the school serves...",598,New Territory MontessoriSchool
Newton Middle,"Newton, TX",Newton Independent School District,,5-8,297,11:1,"Newton Middle is a  school located in Newton, TX, which is in a remote rural setting.  The student population of Newton Middle is 297, and the school serves 5 through 8 At Newton Middle, 23% scored at...",598,NewtonMiddle
New World United Methodist DCC,"Garland, TX",,,PK-5,31,10:1,"New World United Methodist DCC is a private school located in Garland, TX, which is in a large suburb setting.  The student population of New World United Methodist DCC is 31, and the school serves PK...",598,New World United MethodistDCC
Nixon-Smiley Cisd Daep,"Smiley, TX",,,5-12,6,2:1,"Nixon-Smiley Cisd Daep is a  school located in Smiley, TX, which is in a remote rural setting.  The student population of Nixon-Smiley Cisd Daep is 6, and the school serves 5 through 12...",598,Nixon-Smiley CisdDaep
Nixon-Smiley Middle,"Nixon, TX",,,5-8,286,10:1,"Nixon-Smiley Middle is a  school located in Nixon, TX, which is in a remote rural setting.  The student population of Nixon-Smiley Middle is 286, and the school serves 5 through 8 At Nixon-Smiley Middle,...",599,Nixon-SmileyMiddle
Nobis Pacem,"San Antonio, TX",,,PK-12,"1,420",32:1,"Nobis Pacem is a private school located in San Antonio, TX, which is in a large city setting.  The student population of Nobis Pacem is 1420, and the school serves PK through 12...",599,NobisPacem
North Central Texas Academy,"Granbury, TX",,,K-12,106,5:1,"North Central Texas Academy is a private school located in Granbury, TX, which is in a distant rural setting.  The student population of North Central Texas Academy is 106, and the school serves K through...",599,North Central TexasAcademy
North Dallas Adventist Academy,"Richardson, TX",,,PK-12,264,16:1,"North Dallas Adventist Academy is a private school located in Richardson, TX, which is in a mid-size city setting.  The student population of North Dallas Adventist Academy is 264, and the school serves...",599,North Dallas AdventistAcademy
Northeast Christian Academy,"El Paso, TX",,,PK-12,75,6:1,"Northeast Christian Academy is a private school located in El Paso, TX, which is in a large city setting.  The student population of Northeast Christian Academy is 75, and the school serves PK through...",599,Northeast ChristianAcademy
North Park Christian Academy,"Fort Worth, TX",,,PK-4,18,5:1,"North Park Christian Academy is a private school located in Fort Worth, TX, which is in a large suburb setting.  The student population of North Park Christian Academy is 18, and the school serves PK through...",599,North Park ChristianAcademy
Northside Baptist School,"Victoria, TX",,,PK-5,44,5:1,"Northside Baptist School is a private school located in Victoria, TX, which is in a small city setting.  The student population of Northside Baptist School is 44, and the school serves PK through 5...",599,Northside BaptistSchool
Northside Christian Academy,"Carthage, TX",,,PK-12,35,6:1,"Northside Christian Academy is a private school located in Carthage, TX, which is in a distant town setting.  The student population of Northside Christian Academy is 35, and the school serves PK through...",599,Northside ChristianAcademy
Northwest Hills Christian School,"San Antonio, TX",,,PK-8,134,11:1,"Northwest Hills Christian School is a private school located in San Antonio, TX, which is in a large city setting.  The student population of Northwest Hills Christian School is 134, and the school serves...",599,Northwest Hills ChristianSchool
"Northwest Montessori House, Inc","Austin, TX",,,PK-K,28,7:1,"Northwest Montessori House, Inc is a private school located in Austin, TX, which is in a large city setting.  The student population of Northwest Montessori House, Inc is 28, and the school serves PK through...",599,"Northwest Montessori House,Inc"
Northwood Montessori School,"Houston, TX",,,PK-1,33,11:1,"Northwood Montessori School is a private school located in Houston, TX, which is in a large suburb setting.  The student population of Northwood Montessori School is 33, and the school serves PK through...",600,Northwood MontessoriSchool
Notre Dame Catholic School,"Kerrville, TX",,,PK-8,115,8:1,"Notre Dame Catholic School is a private school located in Kerrville, TX, which is in a remote town setting.  The student population of Notre Dame Catholic School is 115, and the school serves PK through...",600,Notre Dame CatholicSchool
Oak Brook School Allen,"Allen, TX",,,PK-K,45,8:1,"Oak Brook School Allen is a private school located in Allen, TX, which is in a large suburb setting.  The student population of Oak Brook School Allen is 45, and the school serves PK through K...",600,Oak Brook SchoolAllen
Oak Crest Private School,"Carrollton, TX",,,PK-8,42,6:1,"Oak Crest Private School is a private school located in Carrollton, TX, which is in a large suburb setting.  The student population of Oak Crest Private School is 42, and the school serves PK through...",600,Oak Crest PrivateSchool
Oak Forest Academy LLC,"Houston, TX",,,,18,9:1,"Oak Forest Academy LLC is a private school located in Houston, TX, which is in a large city setting.  The student population of Oak Forest Academy LLC is 18, and the school serves K only...",600,Oak Forest AcademyLLC
Oak Forest Montessori School,"Longview, TX",,,,17,8:1,"Oak Forest Montessori School is a private school located in Longview, TX, which is in a small city setting.  The student population of Oak Forest Montessori School is 17, and the school serves K only...",600,Oak Forest MontessoriSchool
Oak Hill Academy,"Dallas, TX",,,PK-12,121,4:1,"Oak Hill Academy is a private school located in Dallas, TX, which is in a large city setting.  The student population of Oak Hill Academy is 121, and the school serves PK through 12...",600,Oak HillAcademy
Oak Island Academy,"San Antonio, TX",,,PK-3,7,2:1,"Oak Island Academy is a private school located in San Antonio, TX, which is in a fringe rural setting.  The student population of Oak Island Academy is 7, and the school serves PK through 3...",600,Oak IslandAcademy
Oak Tree Academy,"Tyler, TX",,,,5,5:1,"Oak Tree Academy is a private school located in Tyler, TX, which is in a mid-size city setting.  The student population of Oak Tree Academy is 5, and the school serves K only...",600,Oak TreeAcademy
Oakwell Academy,"College Station, TX",,,PK-9,122,14:1,"Oakwell Academy is a private school located in College Station, TX, which is in a mid-size city setting.  The student population of Oakwell Academy is 122, and the school serves PK through 9...",600,OakwellAcademy
Odessa Christian School,"Odessa, TX",,,PK-8,108,8:1,"Odessa Christian School is a private school located in Odessa, TX, which is in a mid-size city setting.  The student population of Odessa Christian School is 108, and the school serves PK through 8...",601,Odessa ChristianSchool
Odyssey School,"Austin, TX",,,5-12,56,5:1,"Odyssey School is a private school located in Austin, TX, which is in a large city setting.  The student population of Odyssey School is 56, and the school serves 5 through 12...",601,OdysseySchool
One School Global,"San Antonio, TX",,,4-12,27,8:1,"One School Global is a private school located in San Antonio, TX, which is in a large city setting.  The student population of One School Global is 27, and the school serves 4 through 12...",601,One SchoolGlobal
Open Door Christian School,"Graham, TX",,,PK-7,112,7:1,"Open Door Christian School is a private school located in Graham, TX, which is in a remote town setting.  The student population of Open Door Christian School is 112, and the school serves PK through...",601,Open Door ChristianSchool
Orion High School,"Midland, TX",,,K-12,291,26:1,"Orion High School is a private school located in Midland, TX, which is in a mid-size city setting.  The student population of Orion High School is 291, and the school serves K through 12...",601,Orion HighSchool
Our Lady of Fatima Catholic School,"Texas City, TX",,,PK-8,37,6:1,"Our Lady of Fatima Catholic School is a private school located in Texas City, TX, which is in a mid-size suburb setting.  The student population of Our Lady of Fatima Catholic School is 37, and the school...",601,Our Lady of Fatima CatholicSchool
Our Lady of Grace Catholic School,"Pleasanton, TX",,,PK-5,53,6:1,"Our Lady of Grace Catholic School is a private school located in Pleasanton, TX, which is in a distant town setting.  The student population of Our Lady of Grace Catholic School is 53, and the school serves...",601,Our Lady of Grace CatholicSchool
Our Lady of Guadalupe School,"Houston, TX",,,PK-8,183,12:1,"Our Lady of Guadalupe School is a private school located in Houston, TX, which is in a large city setting.  The student population of Our Lady of Guadalupe School is 183, and the school serves PK through...",601,Our Lady of GuadalupeSchool
Our Lady of Lourdes Catholic School,"Hitchcock, TX",,,PK-8,47,5:1,"Our Lady of Lourdes Catholic School is a private school located in Hitchcock, TX, which is in a mid-size suburb setting.  The student population of Our Lady of Lourdes Catholic School is 47, and the school...",601,Our Lady of Lourdes CatholicSchool
Our Lady of Perpetual Help Academy,"Corpus Christi, TX",,,PK-8,120,11:1,"Our Lady of Perpetual Help Academy is a private school located in Corpus Christi, TX, which is in a large city setting.  The student population of Our Lady of Perpetual Help Academy is 120, and the school...",601,Our Lady of Perpetual HelpAcademy
Our Lady of Perpetual Help School,"Selma, TX",,,PK-8,248,12:1,"Our Lady of Perpetual Help School is a private school located in Selma, TX, which is in a large suburb setting.  The student population of Our Lady of Perpetual Help School is 248, and the school serves...",602,Our Lady of Perpetual HelpSchool
Our Lady of Perpetual Help School,"Dallas, TX",,,PK-8,147,12:1,"Our Lady of Perpetual Help School is a private school located in Dallas, TX, which is in a large city setting.  The student population of Our Lady of Perpetual Help School is 147, and the school serves...",602,Our Lady of Perpetual HelpSchool
Our Lady of Refuge Catholic School,"Eagle Pass, TX",,,PK-8,213,16:1,"Our Lady of Refuge Catholic School is a private school located in Eagle Pass, TX, which is in a remote town setting.  The student population of Our Lady of Refuge Catholic School is 213, and the school...",602,Our Lady of Refuge CatholicSchool
Our Lady of the Gulf Catholic School,"Port Lavaca, TX",,,PK-8,109,8:1,"Our Lady of the Gulf Catholic School is a private school located in Port Lavaca, TX, which is in a distant town setting.  The student population of Our Lady of the Gulf Catholic School is 109, and the...",602,Our Lady of the Gulf CatholicSchool
Our Lady of Victory School,"Victoria, TX",,,PK-8,401,19:1,"Our Lady of Victory School is a private school located in Victoria, TX, which is in a small city setting.  The student population of Our Lady of Victory School is 401, and the school serves PK through...",602,Our Lady of VictorySchool
Our Lady Queen of Peace Catholic School,"Richwood, TX",,,PK-8,135,10:1,"Our Lady Queen of Peace Catholic School is a private school located in Richwood, TX, which is in a small suburb setting.  The student population of Our Lady Queen of Peace Catholic School is 135, and the...",602,Our Lady Queen of Peace CatholicSchool
Our Redeemer Lutheran North School,"Houston, TX",,,5-12,6,3:1,"Our Redeemer Lutheran North School is a private school located in Houston, TX, which is in a large city setting.  The student population of Our Redeemer Lutheran North School is 6, and the school serves...",602,Our Redeemer Lutheran NorthSchool
Our Redeemer Lutheran School,"Dallas, TX",,,PK-6,87,8:1,"Our Redeemer Lutheran School is a private school located in Dallas, TX, which is in a large city setting.  The student population of Our Redeemer Lutheran School is 87, and the school serves PK through...",602,Our Redeemer LutheranSchool
Our Redeemer Lutheran School of Dallas,"Dallas, TX",,,PK-6,81,8:1,"Our Redeemer Lutheran School of Dallas is a private school located in Dallas, TX, which is in a large city setting.  The student population of Our Redeemer Lutheran School of Dallas is 81, and the school...",602,Our Redeemer Lutheran School ofDallas
Our Savior Lutheran School,"Houston, TX",,,PK-8,241,17:1,"Our Savior Lutheran School is a private school located in Houston, TX, which is in a large city setting.  The student population of Our Savior Lutheran School is 241, and the school serves PK through...",602,Our Savior LutheranSchool
Ovilla Christian School,"Ovilla, TX",,,PK-12,308,9:1,"Ovilla Christian School is a private school located in Ovilla, TX, which is in a large suburb setting.  The student population of Ovilla Christian School is 308, and the school serves PK through 12...",603,Ovilla ChristianSchool
Palmer Middle,"Palmer, TX",Palmer Independent School District,,5-8,424,15:1,"Palmer Middle is a  school located in Palmer, TX, which is in a distant rural setting.  The student population of Palmer Middle is 424, and the school serves 5 through 8 At Palmer Middle, 57% scored at...",603,PalmerMiddle
Palm Tree Academy,"El Paso, TX",,,PK-5,22,3:1,"Palm Tree Academy is a private school located in El Paso, TX, which is in a large city setting.  The student population of Palm Tree Academy is 22, and the school serves PK through 5...",603,Palm TreeAcademy
Paloma Montessori School,"San Marcos, TX",,,,70,18:1,"Paloma Montessori School is a private school located in San Marcos, TX, which is in a fringe rural setting.  The student population of Paloma Montessori School is 70, and the school serves K only...",603,Paloma MontessoriSchool
Pantego Christian Academy,"Arlington, TX",,,PK-12,549,5:1,"Pantego Christian Academy is a private school located in Arlington, TX, which is in a large city setting.  The student population of Pantego Christian Academy is 549, and the school serves null through...",603,Pantego ChristianAcademy
Pantego Christian Academy-Mansfield Campus,"Arlington, TX",,,PK-12,469,6:1,"Pantego Christian Academy-Mansfield Campus is a private school located in Arlington, TX, which is in a large city setting.  The student population of Pantego Christian Academy-Mansfield Campus is 469,...",603,Pantego Christian Academy-MansfieldCampus
Paradigm Development Center,"Houston, TX",,,5-12,11,2:1,"Paradigm Development Center is a private school located in Houston, TX, which is in a large suburb setting.  The student population of Paradigm Development Center is 11, and the school serves 5 through...",603,Paradigm DevelopmentCenter
Paragon Preparatory Inc,"Austin, TX",,,PK-8,170,6:1,"Paragon Preparatory Inc is a private school located in Austin, TX, which is in a large city setting.  The student population of Paragon Preparatory Inc is 170, and the school serves PK through 8...",603,Paragon PreparatoryInc
Parish Episcopal School,"Dallas, TX",,,PK-12,"1,090",9:1,"Parish Episcopal School is a private school located in Dallas, TX, which is in a large city setting.  The student population of Parish Episcopal School is 1090, and the school serves PK through 12...",603,Parish EpiscopalSchool
Parish Episcopal School,"Dallas, TX",,,PK-12,"1,100",10:1,"Parish Episcopal School is a private school located in Dallas, TX, which is in a large suburb setting.  The student population of Parish Episcopal School is 1100, and the school serves PK through 12...",603,Parish EpiscopalSchool
Park Row Christian Academy,"Arlington, TX",,,PK-6,82,20:1,"Park Row Christian Academy is a private school located in Arlington, TX, which is in a large city setting.  The student population of Park Row Christian Academy is 82, and the school serves PK through...",604,Park Row ChristianAcademy
Parkside Community School,"Austin, TX",,,PK-6,64,7:1,"Parkside Community School is a private school located in Austin, TX, which is in a large city setting.  The student population of Parkside Community School is 64, and the school serves PK through 6...",604,Parkside CommunitySchool
Parkview Christian Academy,"Waco, TX",,,K-12,96,12:1,"Parkview Christian Academy is a private school located in Waco, TX, which is in a fringe rural setting.  The student population of Parkview Christian Academy is 96, and the school serves K through 12...",604,Parkview ChristianAcademy
P A S S Learning Center,"Dallas, TX",Richardson Independent School District,,5-11,7,N/A,"P A S S Learning Center is a  school located in Dallas, TX, which is in a large city setting.  The student population of P A S S Learning Center is 7, and the school serves 5 through 11...",604,P A S S LearningCenter
Pathfinder Camp,"Driftwood, TX",,,5-12,13,4:1,"Pathfinder Camp is a  school located in Driftwood, TX, which is in a distant rural setting.  The student population of Pathfinder Camp is 13, and the school serves 5 through 12 At Pathfinder Camp, 30%...",604,PathfinderCamp
Pathway Christian Academy,"Burleson, TX",,,PK-K,12,12:1,"Pathway Christian Academy is a private school located in Burleson, TX, which is in a large suburb setting.  The student population of Pathway Christian Academy is 12, and the school serves PK through...",604,Pathway ChristianAcademy
Pathway Christian Prep Academy,"Frisco, TX",,,K-11,69,10:1,"Pathway Christian Prep Academy is a private school located in Frisco, TX, which is in a large suburb setting.  The student population of Pathway Christian Prep Academy is 69, and the school serves K through...",604,Pathway Christian PrepAcademy
Pathways School at Dsumc,"Dripping Springs, TX",,,PK-K,15,8:1,"Pathways School at Dsumc is a private school located in Dripping Springs, TX, which is in a distant rural setting.  The student population of Pathways School at Dsumc is 15, and the school serves PK through...",604,Pathways School atDsumc
Pebblecreek Montessori,"Plano, TX",,,PK-6,34,6:1,"Pebblecreek Montessori is a private school located in Plano, TX, which is in a large suburb setting.  The student population of Pebblecreek Montessori is 34, and the school serves PK through 6...",604,PebblecreekMontessori
P E Wallace Middle,"Mount Pleasant, TX",Mount Pleasant Independent School District,,5-6,687,12:1,"P E Wallace Middle is a  school located in Mount Pleasant, TX, which is in a remote town setting.  The student population of P E Wallace Middle is 687, and the school serves 5 through 6 At P E Wallace...",604,P E WallaceMiddle
Pines Montessori School,"KINGWOOD, TX",,,PK-8,106,6:1,"Pines Montessori School is a private school located in KINGWOOD, TX, which is in a large city setting.  The student population of Pines Montessori School is 106, and the school serves PK through 8...",605,Pines MontessoriSchool
Pines Presbyterian Preschool,"Houston, TX",,,PK-K,24,6:1,"Pines Presbyterian Preschool is a private school located in Houston, TX, which is in a large city setting.  The student population of Pines Presbyterian Preschool is 24, and the school serves PK through...",605,Pines PresbyterianPreschool
Pine Tree Middle,"Longview, TX",Pine Tree Independent School District,,5-6,688,16:1,"Pine Tree Middle is a  school located in Longview, TX, which is in a small city setting.  The student population of Pine Tree Middle is 688, and the school serves 5 through 6 At Pine Tree Middle, 43% scored...",605,Pine TreeMiddle
Pinnacle Montessori Academy of Alamo Ranch,"San Antonio, TX",,,PK-3,19,7:1,"Pinnacle Montessori Academy of Alamo Ranch is a private school located in San Antonio, TX, which is in a large suburb setting.  The student population of Pinnacle Montessori Academy of Alamo Ranch is 19,...",605,Pinnacle Montessori Academy of AlamoRanch
Pinnacle Montessori of Frisco,"Frisco, TX",,,PK-K,10,5:1,"Pinnacle Montessori of Frisco is a private school located in Frisco, TX, which is in a large suburb setting.  The student population of Pinnacle Montessori of Frisco is 10, and the school serves PK through...",605,Pinnacle Montessori ofFrisco
Pioneer Technology (Ptaa) Fate,"Fate, TX",,,5-12,373,14:1,"Pioneer Technology (Ptaa) Fate is a  school located in Fate, TX, which is in a large suburb setting.  The student population of Pioneer Technology (Ptaa) Fate is 373, and the school serves 5 through 12...",605,Pioneer Technology (Ptaa)Fate
Pioneer Technology (Ptaa) Mesquite,"Mesquite, TX",,,5-12,621,17:1,"Pioneer Technology (Ptaa) Mesquite is a  school located in Mesquite, TX, which is in a large suburb setting.  The student population of Pioneer Technology (Ptaa) Mesquite is 621, and the school serves...",605,Pioneer Technology (Ptaa)Mesquite
Pipe Creek Christian School,"Pipe Creek, TX",,,PK-12,36,4:1,"Pipe Creek Christian School is a private school located in Pipe Creek, TX, which is in a distant rural setting.  The student population of Pipe Creek Christian School is 36, and the school serves PK through...",605,Pipe Creek ChristianSchool
Plainview Christian Academy,"Plainview, TX",,,PK-12,87,5:1,"Plainview Christian Academy is a private school located in Plainview, TX, which is in a remote town setting.  The student population of Plainview Christian Academy is 87, and the school serves PK through...",605,Plainview ChristianAcademy
Poetry Community Christian School,"Terrell, TX",,,K-12,236,7:1,"Poetry Community Christian School is a private school located in Terrell, TX, which is in a distant rural setting.  The student population of Poetry Community Christian School is 236, and the school serves...",605,Poetry Community ChristianSchool
Porter Christian Academy,"Porter, TX",,,PK-12,65,8:1,"Porter Christian Academy is a private school located in Porter, TX, which is in a large suburb setting.  The student population of Porter Christian Academy is 65, and the school serves PK through 12...",606,Porter ChristianAcademy
Pottsboro Middle,"Pottsboro, TX",Pottsboro Independent School District,,5-8,440,15:1,"Pottsboro Middle is a  school located in Pottsboro, TX, which is in a fringe rural setting.  The student population of Pottsboro Middle is 440, and the school serves 5 through 8 At Pottsboro Middle, 53%...",606,PottsboroMiddle
Premier Academy of Trophy Club,"Trophy Club, TX",,,PK-K,10,6:1,"Premier Academy of Trophy Club is a private school located in Trophy Club, TX, which is in a fringe rural setting.  The student population of Premier Academy of Trophy Club is 10, and the school serves...",606,Premier Academy of TrophyClub
Presbyterian Day School,"Victoria, TX",,,PK-K,4,4:1,"Presbyterian Day School is a private school located in Victoria, TX, which is in a small city setting.  The student population of Presbyterian Day School is 4, and the school serves PK through K...",606,Presbyterian DaySchool
Presbyterian School,"Houston, TX",,,PK-8,572,7:1,"Presbyterian School is a private school located in Houston, TX, which is in a large city setting.  The student population of Presbyterian School is 572, and the school serves PK through 8...",606,PresbyterianSchool
Preston Abc Day School,"Plano, TX",,,PK-K,20,7:1,"Preston Abc Day School is a private school located in Plano, TX, which is in a large city setting.  The student population of Preston Abc Day School is 20, and the school serves PK through K...",606,Preston Abc DaySchool
Preston Hollow Prsbytrn School,"Dallas, TX",,,PK-6,124,5:1,"Preston Hollow Prsbytrn School is a private school located in Dallas, TX, which is in a large city setting.  The student population of Preston Hollow Prsbytrn School is 124, and the school serves PK through...",606,Preston Hollow PrsbytrnSchool
Preston Meadows Montessori School,"Plano, TX",,,PK-K,4,1:1,"Preston Meadows Montessori School is a private school located in Plano, TX, which is in a large city setting.  The student population of Preston Meadows Montessori School is 4, and the school serves PK...",606,Preston Meadows MontessoriSchool
Prestonwood Christian Academy,"Plano, TX",,,PK-12,"1,656",12:1,"Prestonwood Christian Academy is a private school located in Plano, TX, which is in a large city setting.  The student population of Prestonwood Christian Academy is 1656, and the school serves PK through...",606,Prestonwood ChristianAcademy
Prestonwood Christian Academy of Prosper,"Prosper, TX",,,PK-11,309,8:1,"Prestonwood Christian Academy of Prosper is a private school located in Prosper, TX, which is in a fringe rural setting.  The student population of Prestonwood Christian Academy of Prosper is 309, and...",606,Prestonwood Christian Academy ofProsper
Primose School of Atascocito,"Kingwood, TX",,,,13,6:1,"Primose School of Atascocito is a private school located in Kingwood, TX, which is in a large suburb setting.  The student population of Primose School of Atascocito is 13, and the school serves K on...",607,Primose School ofAtascocito
Primrose of Conroe,"Conroe, TX",,,PK-K,90,30:1,"Primrose of Conroe is a private school located in Conroe, TX, which is in a small city setting.  The student population of Primrose of Conroe is 90, and the school serves PK through K...",607,Primrose ofConroe
Primrose of Frisco West,"Frisco, TX",,,PK-K,17,8:1,"Primrose of Frisco West is a private school located in Frisco, TX, which is in a large suburb setting.  The student population of Primrose of Frisco West is 17, and the school serves PK through K...",607,Primrose of FriscoWest
Primrose of Prestonwood,"Dallas, TX",,,PK-K,20,1:1,"Primrose of Prestonwood is a private school located in Dallas, TX, which is in a large city setting.  The student population of Primrose of Prestonwood is 20, and the school serves PK through K...",607,Primrose ofPrestonwood
Primrose School at Fall Creek,"Humble, TX",,,PK-K,19,19:1,"Primrose School at Fall Creek is a private school located in Humble, TX, which is in a large city setting.  The student population of Primrose School at Fall Creek is 19, and the school serves PK through...",607,Primrose School at FallCreek
Primrose School at Hidden Lakes,"Southlake, TX",,,PK-K,4,4:1,"Primrose School at Hidden Lakes is a private school located in Southlake, TX, which is in a large suburb setting.  The student population of Primrose School at Hidden Lakes is 4, and the school serves...",607,Primrose School at HiddenLakes
